budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,director_popularity,actor_popularity,writer_popularity
97600000,Chernin Entertainment,USA,James Mangold,Action,225508210,Ford v. Ferrari,R,14/11/19,152,8.1,Matt Damon,251782,Jez Butterworth,2019,2.607,13.077,1.228
30000000,Summit Entertainment,USA,Patrick Hughes,Action,176600207,The Hitman's Bodyguard,R,5/10/17,118,6.9,Elodie Yung,181090,Tom O'Connor,2017,1.4,4.687,1.4
33000000,CBS Films,USA,Michael Cuesta,Action,67234188,American Assassin,R,23/11/17,111,6.2,Dylan O'Brien,67929,Stephen Schiff,2017,1.094,7.847,0.828
37500000,Escape Artists,USA,Neil Burger,Comedy,125856180,The Upside,R,1/04/19,126,6.9,Kevin Hart,42810,Jon Hartmere,2017,2.923,5.192,0.98
30000000,Open Road Films (II),USA,Baran bo Odar,Action,32917353,Sleepless,R,2/02/17,95,5.6,Jamie Foxx,29261,Andrea Berloff,2017,0.6,6.019,2.187
16000000,Nuyorican Productions,USA,Peter Segal,Comedy,72294066,Ricomincio da me,R,24/01/19,103,5.8,Jennifer Lopez,21061,Justin Zackham,2018,1.96,5.026,1.008
40000000,Summit Entertainment,USA,Jonathan Levine,Comedy,53873809,Long Shot,R,10/10/19,125,6.8,Charlize Theron,88321,Dan Sterling,2019,1.842,16.855,0.6
30000000,Bazelevs Production,USA,Alfonso Gomez-Rejon,Biography,12217160,The Current War,PG-13,18/07/19,108,6.5,Benedict Cumberbatch,16808,Michael Mitnick,2017,1.4,14.578,0.6
120000000,New Line Cinema,USA,Brad Peyton,Action,428028233,Rampage,R,12/04/18,107,6.1,Dwayne Johnson,137865,Ryan Engle,2018,1.62,28.024,0.652
175000000,Columbia Pictures,USA,Jon Watts,Action,880166924,Spider-Man: Homecoming,R,6/07/17,133,7.4,Tom Holland,494060,Jonathan Goldstein,2017,1.676,12.137,1.216
50000000,Summit Entertainment,USA,Neil Marshall,Action,44665289,Hellboy,R,11/04/19,120,5.2,Mark Stanley,74561,Andrew Cosby,2019,2.112,1.674,0.98
90000000,Columbia Pictures,USA,Jake Kasdan,Action,962102237,Jumanji - Welcome to the Jungle,PG,1/01/18,119,6.9,Dwayne Johnson,308721,Chris McKenna,2017,1.4,28.024,2.465
97000000,Twentieth Century Fox,USA,Ridley Scott,Horror,240891763,Alien: Covenant,R,11/05/17,122,6.4,Michael Fassbender,248096,Dan O'Bannon,2017,8.74,10.642,1.4
60000000,Columbia Pictures,USA,Kelly Asbury,Animation,197183546,Smurfs: The Lost Village,G,6/04/17,90,6,Demi Lovato,17800,Stacey Harman,2017,3.377,1.919,0.6
30000000,Focus Features,USA,David Leitch,Action,100014025,Atomic Blonde,R,17/08/17,115,6.7,Charlize Theron,171059,Kurt Johnstad,2017,2.57,16.855,0.612
275000000,Walt Disney Pictures,USA,J.J. Abrams,Action,1074144248,Star Wars: The Rise Of Skywalker,R,18/12/19,141,6.6,Carrie Fisher,347274,Chris Terrio,2019,4.185,8.689,3.07
5000000,Voltage Pictures,USA,Sean Carter,Horror,94178,Keep Watching,R,31/10/17,89,4.3,Bella Thorne,3987,Joseph Dembner,2017,0.6,8.733,1.62
14000000,TSG Entertainment,USA,Taika Waititi,Comedy,90335025,Jojo Rabbit,R,16/01/20,108,7.9,Roman Griffin Davis,253681,Christine Leunens,2019,6.353,1.4,1.411
28000000,Apollo Media,USA,Jonathan Mostow,Action,236820,The Hunter's Prayer,R,9/06/17,91,5.6,Martin Compston,7788,John Brancato,2017,1.192,1.918,1.473
